ANIMALIA,NUMBER,ICUN  Classification
ACTINOPTERYGII,12309,Least Concern (LC)
AMPHIBIA,2856,Least Concern (LC)
ANTHOZOA,293,Least Concern (LC)
ARACHNIDA,89,Least Concern (LC)
AVES,8427,Least Concern (LC)
BIVALVIA,338,Least Concern (LC)
BRANCHIOPODA,1,Least Concern (LC)
CEPHALASPIDOMORPHI,22,Least Concern (LC)
CEPHALOPODA,324,Least Concern (LC)
CHILOPODA,1,Least Concern (LC)
CHONDRICHTHYES,382,Least Concern (LC)
CLITELLATA,74,Least Concern (LC)
DIPLOPODA,37,Least Concern (LC)
ECHINOIDEA,0,Least Concern (LC)
ENOPLA,1,Least Concern (LC)
ENTOGNATHA,0,Least Concern (LC)
GASTROPODA,2619,Least Concern (LC)
HOLOTHUROIDEA,111,Least Concern (LC)
HYDROZOA,8,Least Concern (LC)
INSECTA,4752,Least Concern (LC)
MALACOSTRACA,1199,Least Concern (LC)
MAMMALIA,3292,Least Concern (LC)
MAXILLOPODA,0,Least Concern (LC)
MEROSTOMATA,0,Least Concern (LC)
MYXINI,35,Least Concern (LC)
ONYCHOPHORA,0,Least Concern (LC)
OSTRACODA,0,Least Concern (LC)
POLYCHAETA,0,Least Concern (LC)
REPTILIA,4799,Least Concern (LC)
SARCOPTERYGII,4,Least Concern (LC)
TURBELLARIA,0,Least Concern (LC)
ACTINOPTERYGII,577,Near Threatened (NT)
AMPHIBIA,387,Near Threatened (NT)
ANTHOZOA,175,Near Threatened (NT)
ARACHNIDA,10,Near Threatened (NT)
AVES,1017,Near Threatened (NT)
BIVALVIA,56,Near Threatened (NT)
BRANCHIOPODA,1,Near Threatened (NT)
CEPHALASPIDOMORPHI,3,Near Threatened (NT)
CEPHALOPODA,2,Near Threatened (NT)
CHILOPODA,0,Near Threatened (NT)
CHONDRICHTHYES,115,Near Threatened (NT)
CLITELLATA,12,Near Threatened (NT)
DIPLOPODA,42,Near Threatened (NT)
ECHINOIDEA,1,Near Threatened (NT)
ENOPLA,0,Near Threatened (NT)
ENTOGNATHA,2,Near Threatened (NT)
GASTROPODA,628,Near Threatened (NT)
HOLOTHUROIDEA,0,Near Threatened (NT)
HYDROZOA,1,Near Threatened (NT)
INSECTA,594,Near Threatened (NT)
MALACOSTRACA,71,Near Threatened (NT)
MAMMALIA,353,Near Threatened (NT)
MAXILLOPODA,0,Near Threatened (NT)
MEROSTOMATA,0,Near Threatened (NT)
MYXINI,2,Near Threatened (NT)
ONYCHOPHORA,1,Near Threatened (NT)
OSTRACODA,0,Near Threatened (NT)
POLYCHAETA,0,Near Threatened (NT)
REPTILIA,433,Near Threatened (NT)
SARCOPTERYGII,0,Near Threatened (NT)
TURBELLARIA,0,Near Threatened (NT)
ACTINOPTERYGII,1150,Vunerable (VN)
AMPHIBIA,673,Vunerable (VN)
ANTHOZOA,202,Vunerable (VN)
ARACHNIDA,53,Vunerable (VN)
AVES,800,Vunerable (VN)
BIVALVIA,58,Vunerable (VN)
BRANCHIOPODA,22,Vunerable (VN)
CEPHALASPIDOMORPHI,2,Vunerable (VN)
CEPHALOPODA,2,Vunerable (VN)
CHILOPODA,1,Vunerable (VN)
CHONDRICHTHYES,112,Vunerable (VN)
CLITELLATA,8,Vunerable (VN)
DIPLOPODA,18,Vunerable (VN)
ECHINOIDEA,0,Vunerable (VN)
